country,official_lang,regional_lang,minority_lang,national_lang,widely_spoken_lang
SaintLucia,['English'],,,,
SaintVincentandtheGrenadines,['English'],,,,
Samoa,['English'],,,['Samoan'],
SanMarino,['Italian'],,,,
SoTomandPrncipe,['Portuguese'],,,,
SaudiArabia,['Arabic'],,"['Faifi', 'Razihi', 'Mehri']",,"['Indian Languages', 'Filipino', 'Bengali']"
Senegal,['French'],,,"['Jola-Fogny', 'Mandinka', 'Pulaar', 'Serer', 'Soninke', 'Wolof']",
Serbia,['Serbian'],,,,
Seychelles,"['English', 'French', 'Seychellois Creole']",,,,
SierraLeone,['English'],,,['Krio'],
Singapore,"['English', 'Malay', 'Mandarin Chinese', 'Tamil']",,,['Malay'],
Slovakia,['Slovak'],,"['Bulgarian', 'Czech', 'German', 'Hungarian', 'Polish', 'Romani', 'Rusyn', 'Serbian', 'Ukrainian']",,
Slovenia,['Slovene'],,"['Hungarian', 'Italian', 'Croatian']",,
SolomonIslands,['English'],,,,
Somalia,['Arabic'],,,['Somali'],
Somalilanda,"['Arabic', 'English', 'Somali']",,,,
SouthAfrica,"['Afrikaans', 'English', 'Southern Ndebele', 'Sotho', 'Northern Sotho', 'Swazi', 'Tsonga', 'Tswana', 'Venda', 'Xhosa', 'Zulu']",,,,
SouthOssetiaa,"['Ossetian', 'Russian']",['Georgian'],['Georgian'],,
SouthSudan,['English'],,,,
Spain,['Spanish'],"['Catalan', 'Galician', 'Occitan', 'Basque']","['Astur-Leonese', 'Aragonese', 'Fala', 'French', 'Portuguese']",,
SriLanka,"['Sinhala', 'Tamil']",,,"['Sinhala', 'Tamil']",
Sudan,"['Arabic', 'English']",,,,
Suriname,['Dutch'],,,['Sranan Tongo'],
Sweden,['Swedish'],,"['Finnish', 'Sami']",,"['English', 'Romani', 'Yiddish']"
Switzerland,"['French', 'German', 'Italian', 'Romansh']",,,,
Syria,['Arabic'],['Kurdish'],"['Assyrian', 'Western Neo-Aramaic', 'Armenian']",,
Taiwan,['None'],,,"['Taiwanese Mandarin', 'Taiwanese Hokkien', 'Taiwanese Hakka', 'Formosan languages', 'Taiwan Sign Language', 'Matsu dialect', 'Wuqiu dialect']",
Tajikistan,['Tajik'],,,['Tajik'],['Russian']
Tanzania,"['Swahili', 'English']",,,['Swahili'],
Thailand,['Thai'],,,,
Togo,['French'],,,,
Tokelau,"['English', 'Tokelauan']",,,,
Tonga,"['English', 'Tongan']",,,,
Transnistriaa,"['Moldovan', 'Russian', 'Ukrainian']",,,,
TrinidadandTobago,['English'],,,,['Trinidadian Creole']
Tunisia,['Arabic'],,,['Arabic'],['Tunisian']
Turkey,['Turkish'],,['Kurdish'],['Turkish'],
Turkmenistan,['Turkmen'],,,['Turkmen'],['Russian']
Tuvalu,"['Tuvaluan', 'English']",,,"['Tuvaluan', 'English']","['Tuvaluan', 'English']"
Uganda,"['English', 'Swahili']",,,,
Ukraine,['Ukrainian'],"['Russian', 'Crimean Tatar']",,,
UnitedArabEmirates,['Arabic'],,,,
UnitedKingdomandCrowndependenciesetc,"['None', 'Irish and Ulster-Scots', 'Scots and Scottish Gaelic', 'Welsh', 'Pitcairnese', 'Guernésiais and French', 'Jèrriais and French', 'Manx']",,,,
UnitedStates,['None'],,,['Several indigenous languages of recognized federal tribes'],['Spanish']
Uruguay,['None'],,,,
Uzbekistan,['Uzbek'],,"['Uzbek', 'Karakalpak and Uzbek in Karakalpakstan']",,['Russian']
Vanuatu,"['English', 'French']",,,['Bislama'],
VaticanCity,"['Italian', 'Latin']",,,,['Swiss German']
Venezuela,"['Spanish', 'Venezuelan Sign Language']",,,,
Vietnam,['Vietnamese'],,"['Cantonese', 'Cham', 'Hmong', 'Khmer', 'Lao', 'Muong', 'Rade', 'Tay', 'Thai', 'Vietnamese sign languages']",['Vietnamese'],
Yemen,['Arabic'],,"['Mehri', 'Soqotri']",,
Zambia,['English'],,,,
Zimbabwe,"['Chewa', 'Chibarwe', 'English', 'Kalanga', 'Khoisan', 'Nambya', 'Ndau', 'Ndebele', 'Shangani', 'Shona', 'Sign language', 'Sotho', 'Tonga', 'Tswana', 'Venda', 'Xhosa']",,,,
